"Layer / Component","Technology / Library","Purpose in App","Key Features & Details"
"Frontend Core","React (v18+)","Client-side UI rendering","Powers the single-page application structure, state management (hooks), and modal transitions."
"Language Support","TypeScript","Type-safety","Provides compile-time type checking to prevent layout and state bugs."
"Styling & UI","TailwindCSS","Design system","Tailors standard utility styles, smooth CSS transitions, responsive spacing, and premium color grids."
"Icons","Lucide React","Graphical iconography","High-quality vector SVG icons used across navigation, dashboard metrics, and control cards."
"Charts & Analytics","Recharts","Budget & spending graphs","Renders monthly expense areas, pie charts, and inventory stock bars."
"Backend Core","Node.js & Express.js","Server API hosting","Exposes REST endpoints (/api/inventory, /api/shopping-list, /api/agent) and hosts production build assets."
"Database","SQLite (sqlite3)","Persistent storage","Relational local database storing pantry items, shopping lists, and past receipt purchases."
"PDF Generation","PDFKit","Downloadable reports","Generates customized PDF invoice lists, fallback layout spacing, and mixed Telugu/English text elements."
"Fonts","Noto Sans Telugu","Bilingual support","Custom Unicode font loaded dynamically by PDFKit to draw Telugu script correctly without tofu characters."
"AI Processing","Google Gemini API","AI Agent Coordinator","Transcribes scanned bill receipt photos (OCR) and maps voice coordinates to inventory actions."
"Voice Interface","Web Speech API","Local speech parsing","Browser native SpeechRecognition (voice input) and SpeechSynthesis (text-to-speech feedback)."
"Monorepo Build","NPM Workspaces","Monorepo orchestrator","Roots package dependency scripts allowing unified compilation, installation, and startup."
"Hosting & SSL","Railway","Cloud infrastructure","Handles automatic GitHub redeployments, volume disk mounting, and secure HTTPS configuration."
